### LOVD-version 3000-180 ### Transcripts Quick Download format ### This file can not be imported ###
# charset=UTF-8
"{{chromosome}}"	"{{geneid}}"	"{{name}}"	"{{id_ncbi}}"	"{{id_protein_ncbi}}"
"16"	"ITGAM"	"transcript variant 2"	"NM_000632.3"	"NP_000623.2"
"2"	"ITGAV"	"integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51), transcript variant 1"	"NM_002210.3"	"NP_002201.1"
"16"	"ITGAX"	"integrin, alpha X (complement component 3 receptor 4 subunit)"	"NM_000887.3"	"NP_000878.2"
"10"	"ITGB1"	"transcript variant 1A"	"NM_002211.3"	"NP_002202.2"
"2"	"ITGB1BP1"	"transcript variant 1"	"NM_004763.3"	"NP_004754.1"
"X"	"ITGB1BP2"	"integrin beta 1 binding protein (melusin) 2"	"NM_012278.1"	"NP_036410.1"
"21"	"ITGB2"	"transcript variant 1"	"NM_000211.3"	"NP_000202.2"
"21"	"ITGB2-AS1"	"transcript variant 1"	"NR_038311.1"	""
"17"	"ITGB3"	"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"	"NM_000212.2"	"NP_000203.2"
"1"	"ITGB3BP"	"transcript variant 2"	"NM_014288.4"	"NP_055103.3"
"17"	"ITGB4"	"transcript variant 1"	"NM_000213.3"	"NP_000204.3"
"3"	"ITGB5"	"integrin, beta 5"	"NM_002213.3"	"NP_002204.2"
"2"	"ITGB6"	"integrin, beta 6"	"NM_000888.3"	"NP_000879.2"
"12"	"ITGB7"	"integrin, beta 7"	"NM_000889.1"	"NP_000880.1"
"7"	"ITGB8"	"integrin, beta 8"	"NM_002214.2"	"NP_002205.1"
"13"	"ITGBL1"	"integrin, beta-like 1 (with EGF-like repeat domains)"	"NM_004791.1"	"NP_004782.1"
"3"	"ITIH1"	"transcript variant 1"	"NM_002215.3"	"NP_002206.2"
"10"	"ITIH2"	"inter-alpha (globulin) inhibitor H2"	"NM_002216.2"	"NP_002207.2"
"3"	"ITIH3"	"inter-alpha-trypsin inhibitor heavy chain 3"	"NM_002217.3"	"NP_002208.3"
"3"	"ITIH4"	"inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein), transcript variant 1"	"NM_002218.4"	"NP_002209.2"
"10"	"ITIH5"	"inter-alpha (globulin) inhibitor H5, transcript variant 1"	"NM_030569.6"	"NP_085046.5"
"5"	"ITK"	"IL2-inducible T-cell kinase"	"NM_005546.3"	"NP_005537.3"
"1"	"ITLN1"	"intelectin 1 (galactofuranose binding)"	"NM_017625.2"	"NP_060095.2"
"1"	"ITLN2"	"intelectin 2"	"NM_080878.2"	"NP_543154.1"
"X"	"ITM2A"	"transcript variant 1"	"NM_004867.4"	"NP_004858.1"
"13"	"ITM2B"	"integral membrane protein 2B"	"NM_021999.4"	"NP_068839.1"
"2"	"ITM2C"	"transcript variant 1"	"NM_030926.4"	"NP_112188.1"
"20"	"ITPA"	"transcript variant 3"	"NM_001267623.1"	"NP_001254552.1"
"14"	"ITPK1"	"transcript variant 1"	"NM_014216.4"	"NP_055031.2"
"14"	"ITPK1-AS1"	"ITPK1 antisense RNA 1"	"NR_002808.2"	""
"15"	"ITPKA"	"inositol-trisphosphate 3-kinase A"	"NM_002220.2"	"NP_002211.1"
"1"	"ITPKB"	"inositol-trisphosphate 3-kinase B"	"NM_002221.3"	"NP_002212.3"
"1"	"ITPKB-IT1"	"ITPKB intronic transcript 1 (non-protein coding)"	"XR_110844.1"	""
"19"	"ITPKC"	"inositol-trisphosphate 3-kinase C"	"NM_025194.2"	"NP_079470.1"
"3"	"ITPR1"	"transcript variant 2"	"NM_002222.5"	"NP_002213.5"
"12"	"ITPR2"	"inositol 1,4,5-trisphosphate receptor, type 2"	"NM_002223.2"	"NP_002214.2"
"6"	"ITPR3"	"inositol 1,4,5-trisphosphate receptor, type 3"	"NM_002224.3"	"NP_002215.2"
"10"	"ITPRIP"	"inositol 1,4,5-trisphosphate receptor interacting protein"	"NM_033397.2"	"NP_203755.1"
"2"	"ITPRIPL1"	"transcript variant 1"	"NM_178495.5"	"NP_848590.3"
"16"	"ITPRIPL2"	"transcript variant 1"	"NM_001034841.3"	"NP_001030013.1"
"21"	"ITSN1"	"transcript variant 1"	"NM_003024.2"	"NP_003015.2"
"2"	"ITSN2"	"transcript variant 1"	"NM_006277.2"	"NP_006268.2"
"15"	"IVD"	"isovaleryl-CoA dehydrogenase, transcript variant 1"	"NM_002225.3"	"NP_002216.2"
"1"	"IVL"	"involucrin"	"NM_005547.2"	"NP_005538.2"
"1"	"IVNS1ABP"	"influenza virus NS1A binding protein"	"NM_006469.4"	"NP_006460.2"
"2"	"IWS1"	"IWS1 homolog (S. cerevisiae)"	"NM_017969.2"	"NP_060439.2"
"6"	"IYD"	"transcript variant 2"	"NM_203395.2"	"NP_981932.1"
"19"	"IZUMO1"	"izumo sperm-egg fusion 1"	"NM_182575.2"	"NP_872381.2"
"19"	"IZUMO2"	"IZUMO family member 2"	"NM_152358.2"	"NP_689571.2"
"9"	"IZUMO3"	"IZUMO family member 3"	"XM_003846250.1"	"XP_003846298.1"
"19"	"IZUMO4"	"transcript variant 3"	"NM_001039846.1"	"NP_001034935.1"
"20"	"JAG1"	"jagged 1"	"NM_000214.2"	"NP_000205.1"
"14"	"JAG2"	"transcript variant 1"	"NM_002226.4"	"NP_002217.3"
"3"	"JAGN1"	"jagunal homolog 1 (Drosophila)"	"NM_032492.3"	"NP_115881.3"
"1"	"JAK1"	"Janus kinase 1"	"NM_002227.2"	"NP_002218.2"
"9"	"JAK2"	"Janus kinase 2"	"NM_004972.3"	"NP_004963.1"
"19"	"JAK3"	"Janus kinase 3"	"NM_000215.3"	"NP_000206.2"
"4"	"JAKMIP1"	"transcript variant 2"	"NM_144720.3"	"NP_653321.1"
"5"	"JAKMIP2"	"transcript variant 3"	"NM_014790.4"	"NP_055605.2"
"5"	"JAKMIP2-AS1"	"JAKMIP2 antisense RNA 1"	"NR_038902.1"	""
"10"	"JAKMIP3"	"Janus kinase and microtubule interacting protein 3"	"NM_001105521.2"	"NP_001098991.1"
"21"	"JAM2"	"transcript variant 3"	"NM_001270408.1"	"NP_001257337.1"
"11"	"JAM3"	"transcript variant 1"	"NM_032801.4"	"NP_116190.3"
"11"	"JAM3"	"transcript variant 2"	"NM_001205329.1"	"NP_001192258.1"
"6"	"JARID2"	"transcript variant 1"	"NM_004973.3"	"NP_004964.2"
"6"	"JARID2-AS1"	"JARID2 antisense RNA 1"	"XR_108680.2"	""
"7"	"JAZF1"	"JAZF zinc finger 1"	"NM_175061.3"	"NP_778231.2"
"7"	"JAZF1-AS1"	"JAZF1 antisense RNA 1"	"NR_034097.1"	""
"14"	"JDP2"	"transcript variant 1"	"NM_130469.3"	"NP_569736.1"
"7"	"JHDM1D"	"jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae)"	"NM_030647.1"	"NP_085150.1"
"14"	"JKAMP"	"transcript variant 2"	"NM_001098625.1"	"NP_001092095.1"
"10"	"JMJD1C"	"transcript variant 2"	"NM_004241.2"	"NP_004232.2"
"1"	"JMJD4"	"transcript variant 1"	"NM_023007.2"	"NP_075383.2"
"17"	"JMJD6"	"transcript variant 2"	"NM_015167.2"	"NP_055982.2"
"15"	"JMJD7"	"jumonji domain containing 7"	"NM_001114632.1"	"NP_001108104.1"
"15"	"JMJD7-PLA2G4B"	"transcript variant 3"	"NM_001198588.1"	"NP_001185517.1"
"16"	"JMJD8"	"jumonji domain containing 8"	"NM_001005920.2"	"NP_001005920.2"
"5"	"JMY"	"junction mediating and regulatory protein, p53 cofactor"	"NM_152405.4"	"NP_689618.4"
"22"	"JOSD1"	"Josephin domain containing 1"	"NM_014876.5"	"NP_055691.1"
"19"	"JOSD2"	"transcript variant 4"	"NM_138334.3"	"NP_612207.1"
"8"	"JPH1"	"junctophilin 1"	"NM_020647.2"	"NP_065698.1"
"20"	"JPH2"	"transcript variant 1"	"NM_020433.4"	"NP_065166.2"
"16"	"JPH3"	"junctophilin 3"	"NM_020655.2"	"NP_065706.2"
"16"	"JPH3"	"transcript variant 2"	"NM_001271604.2"	"NP_001258533.1"
"16"	"JPH3"	"transcript variant 3"	"NM_001271605.1"	"NP_001258534.1"
"14"	"JPH4"	"transcript variant 1"	"NM_032452.2"	"NP_115828.2"
"X"	"JPX"	"JPX transcript, XIST activator (non-protein coding)"	"NR_024582.1"	""
"8"	"JRK"	"transcript variant 1"	"NM_003724.2"	"NP_003715.2"
"11"	"JRKL"	"jerky homolog-like (mouse)"	"NM_003772.3"	"NP_003763.2"
"11"	"JRKL-AS1"	"JRKL antisense RNA 1"	"NR_047481.1"	""
"19"	"JSRP1"	"junctional sarcoplasmic reticulum protein 1"	"NM_144616.3"	"NP_653217.1"
"1"	"JTB"	"jumping translocation breakpoint"	"NM_006694.3"	"NP_006685.1"
"1"	"JUN"	"jun proto-oncogene"	"NM_002228.3"	"NP_002219.1"
"19"	"JUNB"	"jun B proto-oncogene"	"NM_002229.2"	"NP_002220.1"
"19"	"JUND"	"jun D proto-oncogene"	"NM_005354.4"	"NP_005345.3"
"17"	"JUP"	"transcript variant 1"	"NM_002230.2"	"NP_002221.1"
"6"	"KAAG1"	"kidney associated antigen 1"	"NM_181337.3"	"NP_851854.1"
"X"	"KAL1"	"Kallmann syndrome 1 sequence"	"NM_000216.2"	"NP_000207.2"
"3"	"KALRN"	"transcript variant 2"	"NM_003947.4"	"NP_003938.1"
"9"	"KANK1"	"transcript variant 1"	"NM_015158.3"	"NP_055973.2"
"19"	"KANK2"	"transcript variant 1"	"NM_015493.6"	"NP_056308.3"
"19"	"KANK3"	"KN motif and ankyrin repeat domains 3"	"NM_198471.2"	"NP_940873.2"
"1"	"KANK4"	"KN motif and ankyrin repeat domains 4"	"NM_181712.4"	"NP_859063.3"
"17"	"KANSL1-AS1"	"KANSL1 antisense RNA 1"	"NR_034172.1"	""
"2"	"KANSL1L"	"KAT8 regulatory NSL complex subunit 1-like"	"NM_152519.2"	"NP_689732.2"
"12"	"KANSL2"	"KAT8 regulatory NSL complex subunit 2"	"NM_017822.3"	"NP_060292.3"
"2"	"KANSL3"	"transcript variant 5"	"NR_047656.1"	""
"16"	"KARS"	"transcript variant 2"	"NM_005548.2"	"NP_005539.1"
"16"	"KARS"	"transcript variant 1"	"NM_001130089.1"	"NP_001123561.1"
"17"	"KAT2A"	"K(lysine) acetyltransferase 2A"	"NM_021078.2"	"NP_066564.2"
"3"	"KAT2B"	"K(lysine) acetyltransferase 2B"	"NM_003884.4"	"NP_003875.3"
"11"	"KAT5"	"transcript variant 2"	"NM_006388.3"	"NP_006379.2"
"8"	"KAT6A"	"transcript variant 3"	"NM_006766.3"	"NP_006757.2"
"10"	"KAT6B"	"transcript variant 1"	"NM_012330.3"	"NP_036462.2"
"10"	"KAT6B"	"transcript variant 2"	"NM_001256468.1"	"NP_001243397.1"
"10"	"KAT6B"	"transcript variant 3"	"NM_001256469.1"	"NP_001243398.1"
"17"	"KAT7"	"transcript variant 1"	"NM_007067.4"	"NP_008998.1"
"16"	"KAT8"	"transcript variant 1"	"NM_032188.2"	"NP_115564.2"
"6"	"KATNA1"	"transcript variant 1"	"NM_007044.3"	"NP_008975.1"
"13"	"KATNAL1"	"transcript variant 1"	"NM_032116.4"	"NP_115492.1"
"18"	"KATNAL2"	"katanin p60 subunit A-like 2"	"NM_031303.2"	"NP_112593.2"
"16"	"KATNB1"	"katanin p80 (WD repeat containing) subunit B 1"	"NM_005886.2"	"NP_005877.2"
"15"	"KATNBL1"	"katanin p80 subunit B-like 1"	"NM_024713.2"	"NP_078989.1"
"10"	"KAZALD1"	"Kazal-type serine peptidase inhibitor domain 1"	"NM_030929.4"	"NP_112191.2"
"1"	"KAZN"	"transcript variant E"	"NM_201628.2"	"NP_963922.2"
"8"	"KBTBD11"	"kelch repeat and BTB (POZ) domain containing 11"	"NM_014867.2"	"NP_055682.1"
"3"	"KBTBD12"	"kelch repeat and BTB (POZ) domain containing 12"	"NM_207335.2"	"NP_997218.2"
"15"	"KBTBD13"	"kelch repeat and BTB (POZ) domain containing 13"	"NM_001101362.2"	"NP_001094832.1"
"7"	"KBTBD2"	"kelch repeat and BTB (POZ) domain containing 2"	"NM_015483.2"	"NP_056298.2"
"11"	"KBTBD3"	"transcript variant 1"	"NM_152433.3"	"NP_689646.2"
"11"	"KBTBD4"	"transcript variant 2"	"NM_016506.5"	"NP_057590.3"
"13"	"KBTBD6"	"kelch repeat and BTB (POZ) domain containing 6"	"NM_152903.4"	"NP_690867.3"
"13"	"KBTBD7"	"kelch repeat and BTB (POZ) domain containing 7"	"NM_032138.4"	"NP_115514.2"
"3"	"KBTBD8"	"kelch repeat and BTB (POZ) domain containing 8"	"NM_032505.2"	"NP_115894.2"
"2"	"KCMF1"	"potassium channel modulatory factor 1"	"NM_020122.4"	"NP_064507.3"
"12"	"KCNA1"	"potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)"	"NM_000217.2"	"NP_000208.2"
"1"	"KCNA10"	"potassium voltage-gated channel, shaker-related subfamily, member 10"	"NM_005549.2"	"NP_005540.1"
"1"	"KCNA2"	"transcript variant 1"	"NM_004974.3"	"NP_004965.1"
"1"	"KCNA3"	"potassium voltage-gated channel, shaker-related subfamily, member 3"	"NM_002232.3"	"NP_002223.3"
"11"	"KCNA4"	"potassium voltage-gated channel, shaker-related subfamily, member 4"	"NM_002233.3"	"NP_002224.1"
"12"	"KCNA5"	"potassium voltage-gated channel, shaker-related subfamily, member 5"	"NM_002234.3"	"NP_002225.2"
"12"	"KCNA6"	"potassium voltage-gated channel, shaker-related subfamily, member 6"	"NM_002235.3"	"NP_002226.1"
"19"	"KCNA7"	"potassium voltage-gated channel, shaker-related subfamily, member 7"	"NM_031886.2"	"NP_114092.2"
"3"	"KCNAB1"	"transcript variant 2"	"NM_003471.3"	"NP_003462.2"
"3"	"KCNAB1-AS1"	"KCNAB1 antisense RNA 1"	"NR_046618.1"	""
"3"	"KCNAB1-AS2"	"KCNAB1 antisense RNA 2"	"NR_046617.1"	""
"1"	"KCNAB2"	"transcript variant 2"	"NM_172130.2"	"NP_742128.1"
"17"	"KCNAB3"	"potassium voltage-gated channel, shaker-related subfamily, beta member 3"	"NM_004732.3"	"NP_004723.2"
"20"	"KCNB1"	"potassium voltage-gated channel, Shab-related subfamily, member 1"	"NM_004975.2"	"NP_004966.1"
"8"	"KCNB2"	"potassium voltage-gated channel, Shab-related subfamily, member 2"	"NM_004770.2"	"NP_004761.2"
"11"	"KCNC1"	"transcript variant B"	"NM_004976.4"	"NP_004967.1"
"12"	"KCNC2"	"transcript variant 3"	"NM_153748.2"	"NP_715624.1"
"19"	"KCNC3"	"potassium voltage-gated channel, Shaw-related subfamily, member 3"	"NM_004977.2"	"NP_004968.2"
"1"	"KCNC4"	"transcript variant 3"	"NM_001039574.2"	"NP_001034663.1"
"X"	"KCND1"	"potassium voltage-gated channel, Shal-related subfamily, member 1"	"NM_004979.4"	"NP_004970.3"
"7"	"KCND2"	"potassium voltage-gated channel, Shal-related subfamily, member 2"	"NM_012281.2"	"NP_036413.1"
"1"	"KCND3"	"transcript variant 2"	"NM_172198.2"	"NP_751948.1"
"21"	"KCNE1"	"transcript variant 2"	"NM_000219.4"	"NP_000210.2"
"X"	"KCNE1L"	"KCNE1-like"	"NM_012282.2"	"NP_036414.1"
"21"	"KCNE2"	"potassium voltage-gated channel, Isk-related family, member 2"	"NM_172201.1"	"NP_751951.1"
"11"	"KCNE3"	"potassium voltage-gated channel, Isk-related family, member 3"	"NM_005472.4"	"NP_005463.1"
"2"	"KCNE4"	"potassium voltage-gated channel, Isk-related family, member 4"	"NM_080671.2"	"NP_542402.2"
"2"	"KCNF1"	"potassium voltage-gated channel, subfamily F, member 1"	"NM_002236.4"	"NP_002227.2"
"20"	"KCNG1"	"potassium voltage-gated channel, subfamily G, member 1"	"NM_002237.3"	"NP_002228.2"
"18"	"KCNG2"	"potassium voltage-gated channel, subfamily G, member 2"	"NM_012283.1"	"NP_036415.1"
"2"	"KCNG3"	"transcript variant 2"	"NM_172344.2"	"NP_758847.1"
"16"	"KCNG4"	"potassium voltage-gated channel, subfamily G, member 4"	"NM_172347.2"	"NP_758857.1"
"1"	"KCNH1"	"transcript variant 1"	"NM_172362.2"	"NP_758872.1"
"7"	"KCNH2"	"transcript variant 1"	"NM_000238.3"	"NP_000229.1"
"12"	"KCNH3"	"potassium voltage-gated channel, subfamily H (eag-related), member 3"	"NM_012284.1"	"NP_036416.1"
"17"	"KCNH4"	"potassium voltage-gated channel, subfamily H (eag-related), member 4"	"NM_012285.2"	"NP_036417.1"
"14"	"KCNH5"	"transcript variant 1"	"NM_139318.3"	"NP_647479.2"
"17"	"KCNH6"	"transcript variant 1"	"NM_030779.2"	"NP_110406.1"
"2"	"KCNH7"	"transcript variant 1"	"NM_033272.3"	"NP_150375.2"
"3"	"KCNH8"	"potassium voltage-gated channel, subfamily H (eag-related), member 8"	"NM_144633.2"	"NP_653234.2"
"5"	"KCNIP1"	"transcript variant 3"	"NM_001034838.1"	"NP_001030010.1"
"10"	"KCNIP2"	"transcript variant 1"	"NM_014591.4"	"NP_055406.2"
"2"	"KCNIP3"	"transcript variant 1"	"NM_013434.4"	"NP_038462.1"
"4"	"KCNIP4"	"transcript variant 1"	"NM_025221.5"	"NP_079497.2"
"4"	"KCNIP4-IT1"	"KCNIP4 intronic transcript 1 (non-protein coding)"	"NR_002813.1"	""
"11"	"KCNJ1"	"transcript variant rom-k1"	"NM_000220.2"	"NP_000211.1"
"1"	"KCNJ10"	"potassium inwardly-rectifying channel, subfamily J, member 10"	"NM_002241.4"	"NP_002232.2"
"11"	"KCNJ11"	"transcript variant 1"	"NM_000525.3"	"NP_000516.3"
"17"	"KCNJ12"	"potassium inwardly-rectifying channel, subfamily J, member 12"	"NM_021012.4"	"NP_066292.2"
"2"	"KCNJ13"	"transcript variant 1"	"NM_002242.4"	"NP_002233.2"
"19"	"KCNJ14"	"transcript variant 1"	"NM_013348.2"	"NP_037480.1"
"21"	"KCNJ15"	"transcript variant 2"	"NM_002243.3"	"NP_002234.2"
"17"	"KCNJ16"	"transcript variant 1"	"NM_018658.2"	"NP_061128.1"
"17"	"KCNJ2"	"potassium inwardly-rectifying channel, subfamily J, member 2"	"NM_000891.2"	"NP_000882.1"
"17"	"KCNJ2-AS1"	"KCNJ2 antisense RNA 1 (head to head)"	"NR_036534.1"	""
"2"	"KCNJ3"	"transcript variant 1"	"NM_002239.3"	"NP_002230.1"
"22"	"KCNJ4"	"transcript variant 2"	"NM_004981.1"	"NP_004972.1"
"11"	"KCNJ5"	"potassium inwardly-rectifying channel, subfamily J, member 5"	"NM_000890.3"	"NP_000881.3"
"21"	"KCNJ6"	"potassium inwardly-rectifying channel, subfamily J, member 6"	"NM_002240.3"	"NP_002231.1"
"12"	"KCNJ8"	"potassium inwardly-rectifying channel, subfamily J, member 8"	"NM_004982.3"	"NP_004973.1"
"1"	"KCNJ9"	"potassium inwardly-rectifying channel, subfamily J, member 9"	"NM_004983.2"	"NP_004974.2"
"1"	"KCNK1"	"potassium channel, subfamily K, member 1"	"NM_002245.3"	"NP_002236.1"
"14"	"KCNK10"	"transcript variant 1"	"NM_021161.4"	"NP_066984.1"
"2"	"KCNK12"	"potassium channel, subfamily K, member 12"	"NM_022055.1"	"NP_071338.1"
"14"	"KCNK13"	"potassium channel, subfamily K, member 13"	"NM_022054.2"	"NP_071337.2"
"20"	"KCNK15"	"potassium channel, subfamily K, member 15"	"NM_022358.3"	"NP_071753.2"
"6"	"KCNK16"	"transcript variant 2"	"NM_032115.3"	"NP_115491.1"
"6"	"KCNK17"	"transcript variant 1"	"NM_031460.3"	"NP_113648.2"
"10"	"KCNK18"	"potassium channel, subfamily K, member 18"	"NM_181840.1"	"NP_862823.1"
"1"	"KCNK2"	"transcript variant 2"	"NM_014217.3"	"NP_055032.1"
"2"	"KCNK3"	"potassium channel, subfamily K, member 3"	"NM_002246.2"	"NP_002237.1"
"11"	"KCNK4"	"potassium channel, subfamily K, member 4"	"NM_033310.2"	"NP_201567.1"
"6"	"KCNK5"	"potassium channel, subfamily K, member 5"	"NM_003740.3"	"NP_003731.1"
"19"	"KCNK6"	"potassium channel, subfamily K, member 6"	"NM_004823.1"	"NP_004814.1"
"11"	"KCNK7"	"transcript variant C"	"NM_005714.1"	"NP_005705.1"
"8"	"KCNK9"	"potassium channel, subfamily K, member 9"	"NM_016601.2"	"NP_057685.1"
"10"	"KCNMA1"	"transcript variant 2"	"NM_002247.3"	"NP_002238.2"
"5"	"KCNMB1"	"potassium large conductance calcium-activated channel, subfamily M, beta member 1"	"NM_004137.2"	"NP_004128.1"
"3"	"KCNMB2"	"transcript variant 1"	"NM_181361.1"	"NP_852006.1"
"3"	"KCNMB2-IT1"	"KCNMB2 intronic transcript 1 (non-protein coding)"	"NR_046786.1"	""
"3"	"KCNMB3"	"transcript variant 5"	"NM_001163677.1"	"NP_001157149.1"
"12"	"KCNMB4"	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"	"NM_014505.5"	"NP_055320.4"
"19"	"KCNN1"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1"	"NM_002248.3"	"NP_002239.2"
"5"	"KCNN2"	"transcript variant 1"	"NM_021614.2"	"NP_067627.2"
"1"	"KCNN3"	"transcript variant 1"	"NM_002249.5"	"NP_002240.3"
"19"	"KCNN4"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"	"NM_002250.2"	"NP_002241.1"
"11"	"KCNQ1"	"transcript variant 1"	"NM_000218.2"	"NP_000209.2"
"11"	"KCNQ1DN"	"KCNQ1 downstream neighbor (non-protein coding)"	"NR_024627.1"	""
"11"	"KCNQ1OT1"	"KCNQ1 overlapping transcript 1 (non-protein coding)"	"NR_002728.2"	""
"20"	"KCNQ2"	"transcript variant 1"	"NM_172107.2"	"NP_742105.1"
"8"	"KCNQ3"	"transcript variant 1"	"NM_004519.3"	"NP_004510.1"
"1"	"KCNQ4"	"transcript variant 1"	"NM_004700.3"	"NP_004691.2"
"6"	"KCNQ5"	"transcript variant 1"	"NM_019842.3"	"NP_062816.2"
"6"	"KCNQ5-AS1"	"KCNQ5 antisense RNA 1"	"NR_046621.1"	""
"6"	"KCNQ5-IT1"	"KCNQ5 intronic transcript 1 (non-protein coding)"	"XR_158796.1"	""
"13"	"KCNRG"	"transcript variant 1"	"NM_173605.1"	"NP_775876.1"
"20"	"KCNS1"	"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1"	"NM_002251.3"	"NP_002242.2"
"8"	"KCNS2"	"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 2"	"NM_020697.2"	"NP_065748.1"
"2"	"KCNS3"	"potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3"	"NM_002252.3"	"NP_002243.3"
"9"	"KCNT1"	"potassium channel, subfamily T, member 1"	"NM_020822.2"	"NP_065873.2"
"1"	"KCNT2"	"potassium channel, subfamily T, member 2"	"NM_198503.2"	"NP_940905.2"
"8"	"KCNU1"	"potassium channel, subfamily U, member 1"	"NM_001031836.2"	"NP_001027006.2"
"8"	"KCNV1"	"potassium channel, subfamily V, member 1"	"NM_014379.2"	"NP_055194.1"
"9"	"KCNV2"	"potassium channel, subfamily V, member 2"	"NM_133497.3"	"NP_598004.1"
"7"	"KCP"	"transcript variant 2"	"NM_199349.2"	"NP_955381.2"
"18"	"KCTD1"	"transcript variant 1"	"NM_001136205.2"	"NP_001129677.1"
"12"	"KCTD10"	"potassium channel tetramerisation domain containing 10"	"NM_031954.3"	"NP_114160.1"
"17"	"KCTD11"	"potassium channel tetramerisation domain containing 11"	"NM_001002914.2"	"NP_001002914.1"
"13"	"KCTD12"	"potassium channel tetramerisation domain containing 12"	"NM_138444.3"	"NP_612453.1"
"16"	"KCTD13"	"potassium channel tetramerisation domain containing 13"	"NM_178863.3"	"NP_849194.1"
"11"	"KCTD14"	"potassium channel tetramerisation domain containing 14"	"NM_023930.3"	"NP_076419.2"
"19"	"KCTD15"	"transcript variant 1"	"NM_024076.2"	"NP_076981.2"
"5"	"KCTD16"	"potassium channel tetramerisation domain containing 16"	"NM_020768.3"	"NP_065819.1"
"22"	"KCTD17"	"potassium channel tetramerisation domain containing 17"	"NM_024681.2"	"NP_078957.2"
"2"	"KCTD18"	"potassium channel tetramerisation domain containing 18"	"NM_152387.2"	"NP_689600.2"
"16"	"KCTD19"	"potassium channel tetramerisation domain containing 19"	"NM_001100915.1"	"NP_001094385.1"
"17"	"KCTD2"	"potassium channel tetramerisation domain containing 2"	"NM_015353.1"	"NP_056168.1"
"6"	"KCTD20"	"potassium channel tetramerisation domain containing 20"	"NM_173562.3"	"NP_775833.2"
"11"	"KCTD21"	"potassium channel tetramerisation domain containing 21"	"NM_001029859.1"	"NP_001025030.1"
"1"	"KCTD3"	"potassium channel tetramerisation domain containing 3"	"NM_016121.3"	"NP_057205.2"
"13"	"KCTD4"	"potassium channel tetramerisation domain containing 4"	"NM_198404.2"	"NP_940686.2"
"16"	"KCTD5"	"potassium channel tetramerisation domain containing 5"	"NM_018992.3"	"NP_061865.1"
"3"	"KCTD6"	"transcript variant 1"	"NM_153331.3"	"NP_699162.3"
"7"	"KCTD7"	"transcript variant 1"	"NM_153033.4"	"NP_694578.1"
"4"	"KCTD8"	"potassium channel tetramerisation domain containing 8"	"NM_198353.2"	"NP_938167.1"
"8"	"KCTD9"	"potassium channel tetramerisation domain containing 9"	"NM_017634.3"	"NP_060104.2"
"13"	"KDELC1"	"KDEL (Lys-Asp-Glu-Leu) containing 1"	"NM_024089.2"	"NP_076994.2"
"11"	"KDELC2"	"KDEL (Lys-Asp-Glu-Leu) containing 2"	"NM_153705.4"	"NP_714916.3"
"6"	"KDM1B"	"lysine (K)-specific demethylase 1B"	"NM_153042.3"	"NP_694587.3"
"2"	"KDM3A"	"transcript variant 1"	"NM_018433.5"	"NP_060903.2"
"19"	"KDM4B"	"lysine (K)-specific demethylase 4B"	"NM_015015.2"	"NP_055830.1"
"9"	"KDM4C"	"transcript variant 1"	"NM_015061.3"	"NP_055876.2"
"11"	"KDM4D"	"lysine (K)-specific demethylase 4D"	"NM_018039.2"	"NP_060509.2"
"11"	"KDM4E"	"lysine (K)-specific demethylase 4E"	"NM_001161630.1"	"NP_001155102.1"
"12"	"KDM5A"	"lysine (K)-specific demethylase 5A"	"NM_001042603.1"	"NP_001036068.1"
"1"	"KDM5B"	"lysine (K)-specific demethylase 5B"	"NM_006618.3"	"NP_006609.3"
"1"	"KDM5B-AS1"	"transcript variant 1"	"NR_046325.1"	""
"X"	"KDM5C"	"lysine (K)-specific demethylase 5C, transcript variant 1"	"NM_004187.3"	"NP_004178.2"
"Y"	"KDM5D"	"transcript variant 2"	"NM_004653.4"	"NP_004644.2"
"X"	"KDM6A"	"lysine (K)-specific demethylase 6A"	"NM_021140.2"	"NP_066963.2"
"17"	"KDM6B"	"lysine (K)-specific demethylase 6B"	"NM_001080424.1"	"NP_001073893.1"
"16"	"KDM8"	"transcript variant 2"	"NM_024773.2"	"NP_079049.2"
"4"	"KDR"	"kinase insert domain receptor (a type III receptor tyrosine kinase)"	"NM_002253.2"	"NP_002244.1"
"18"	"KDSR"	"3-ketodihydrosphingosine reductase"	"NM_002035.2"	"NP_002026.1"
"19"	"KEAP1"	"transcript variant 2"	"NM_012289.3"	"NP_036421.2"
"7"	"KEL"	"Kell blood group, metallo-endopeptidase"	"NM_000420.2"	"NP_000411.1"
"12"	"KERA"	"keratocan"	"NM_007035.3"	"NP_008966.1"
"6"	"KHDC1"	"transcript variant 2"	"NM_030568.3"	"NP_085045.3"
